Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
540.5419922,,99.5444386,0.0480506913,0.407510705,0,,,,
555.9879761,,88.76960642,7.904150846,3.209147716,0.1170950144,,,,
586.6339722,,97.98963167,1.067246941,0.3793365073,0.563784884,,,,
625.9760132,,99.87993254,0,0.1200674649,0,,,,
628.0620117,,98.85691652,0.5454788204,0.592312011,0.005292650894,,,,
649.34198,,100,0,0,0,,,,
686.8779907,,67.30102554,5.79547831,21.26784313,5.635653025,,,,
771.6119995,,97.31322263,2.460712607,0.1764242183,0.04964054142,,,,
786.559021,,95.55480685,1.205244408,1.143069849,2.096878897,,,,
895.3079834,,100,0,0,0,,,,
896.4439697,,94.30106524,0,3.318602766,2.380331999,,,,
988.0020142,,76.04992021,14.7574817,7.015876051,2.176722038,,,,
1160.16394,,70.75307095,9.507067163,9.835567931,9.904293959,,,,
1207.360962,,99.76517318,0,0.2348268167,0,,,,
1271.766968,,99.8662547,0,0.1337453014,0,,,,
1318.442017,,85.4956012,1.88586597,8.360029397,4.258503433,,,,
1326.53894,,99.59078178,0,0.4092182232,0,,,,
1399.490967,,98.87517077,1.124829231,0,0,,,,
1701.583008,,100,0,0,0,,,,
1886.202026,,98.78260115,0.6823007424,0.5350981037,0,,,,
1967.998047,,59.01691221,14.03457137,26.6263769,0.3221395192,,,,
2078.931885,,99.5,0,0.5,0,,,,
2083.379883,,97.74281579,1.63499414,0.5742284762,0.04796159706,,,,
2142.251953,,72.17603927,10.40592597,12.21725464,5.200780116,,,,
2225.728027,,85.3419306,7.735263103,6.922808357,NAN,,,,
2351.625,,92.21356307,4.72303897,1.732526476,1.330871481,,,,
2416.664063,,80.94040714,8.597391391,10.35285207,0.1093493927,,,,
2540.916016,,84.27003628,7.08762751,3.740143722,4.902192485,,,,
2722.291016,,98.01334724,0,1.98665276,0,,,,
2860.840088,,100,0,0,0,,,,
2877.800049,,95.06803883,1.884656092,3.047305081,0,,,,
2881.060059,,99.56810194,0,0.4318980637,0,,,,
2961.160889,,91.0299445,5.367570914,1.864010203,1.738474379,,,,
2963.233887,,99.97118069,0,0.02881930801,0,,,,
3278.291992,,85.49562527,2.14642893,6.633366714,5.724579081,,,,
3280.814941,,96.11389762,3.823663938,0.06243843752,0,,,,
3473.727051,,99.49575756,0.5042424412,0,0,,,,
3989.175049,,97.3481397,0,2.632761379,0.01909892327,,,,
4033.962891,,90.56996224,1.519776762,7.910260997,0,,,,
4105.268066,,NAN,NAN,NAN,NAN,,,,
4270.562988,,100,0,0,0,,,,
4314.768066,,94.37254436,1.873480592,2.262304247,1.491670799,,,,
4649.660156,,71.68104923,13.47689193,14.82032681,0.02173203433,,,,
4822.23291,,100.0000013,0,0,0,,,,
4829.76416,,37.20240205,25.68237348,33.53911377,3.576110708,,,,
4937.795898,,97.39970651,0,2.600293485,0,,,,
5057.676758,,75.26179159,8.700657475,3.488080869,12.54947006,,,,
5094.11377,,99.81053693,0.1894594746,0.000003594451897,0,,,,
5101.416016,,97.88039722,1.029979486,1.089623295,NAN,,,,
5106.62207,,92.16802469,7.541419893,0.2604052036,0.03015021745,,,,
5421.242188,,99.9999955,0,0.000004503407453,0,,,,
5459.643066,,99.78769858,0.2123014241,0,0,,,,
5518.091797,,73.78451158,10.46117203,9.559180722,6.195135664,,,,
5540.717773,,100.0000033,0,0,0,,,,
5792.203125,,100.0000011,0,0,0,,,,
5850.342773,,100,0,0,0,,,,
6031.187012,,100,0,0,0,,,,
6486.201172,,97.94657541,0.2072632319,0.3151739969,1.530987366,,,,
6524.190918,,91.69930522,1.900734111,1.8656487,4.534311965,,,,
6624.554199,,81.7087538,1.506645682,13.53053114,3.254069378,,,,
6825.441895,,92.6,7.4,0,0,,,,
6871.287109,,99.8915238,0,0.1084762012,0,,,,
6948.444824,,99.01141694,0,0.9885830607,0,,,,
7132.529785,,99.59346633,0.4065302439,0.0000034229177,0,,,,
7275.556152,,85.21974318,3.566857739,10.62886799,0.5845310938,,,,
7496.987793,,100,0,0,0,,,,
7976.984863,,63.76628562,9.023316357,15.5639457,11.64645233,,,,
8278.737305,,68.58372009,6.065434765,14.16432245,11.18652269,,,,
8654.618164,,100.0000028,0,0,0,,,,
8655.541016,,100,0,0,0,,,,
8737.370117,,95.29552932,4.244199279,0.4437204778,0.01655092647,,,,
8947.027344,,45.34401752,2.128564452,22.15762495,30.36979308,,,,
9006.400391,,100,0,0,0,,,,
9449.321289,,96.53472608,3.37211955,0.09315436837,0,,,,
9537.641602,,81.85241502,2.568363935,3.421857005,12.15736404,,,,
9660.349609,,99.99999747,0,0.000002527244192,0,,,,
9890.400391,,99.965596,0,0.034404,0,,,,
9904.608398,,95.68922113,0.4256206085,3.885158264,0,,,,
10099.26953,,99.82686763,0,0.1731323735,0,,,,
10139.1748,,96.04337613,1.04278118,2.913842688,0,,,,
10196.70703,,99.91199367,0,0.08800633369,0,,,,
10203.13965,,98.94030296,0.1462147369,0.8536474704,0.05983483179,,,,
10423.05566,,100.0000023,0,0,0,,,,
10708.98242,,99.88059167,0,0.1194083325,0,,,,
10847.9043,,96.68681192,0.4670386504,1.269428783,1.576720644,,,,
11193.72852,,40.95092717,37.42696287,13.53755519,8.084554762,,,,
11326.61621,,97.00269616,1.471384542,1.252811506,0.2731077963,,,,
11402.5332,,66.6953084,9.814543652,23.49014795,0,,,,
11589.61621,,99.99999645,0,0.000003554796791,0,,,,
11673.0293,,93.39007163,0.1365905296,1.575010843,4.898326997,,,,
11818.61816,,97.54330899,1.63135067,0.8253403378,0,,,,
11890.78125,,62.20712225,19.43969314,14.75825969,3.594924913,,,,
12123.19824,,65.41412299,9.317535586,21.97254088,3.295800547,,,,
12952.20898,,60.41450115,22.3207193,13.15480415,4.109975401,,,,
13132.79199,,63.96178874,21.2815915,6.296119406,8.460500354,,,,
14862.92676,,62.66645761,14.1975397,16.27785545,6.858147242,,,,
15893.21875,,56.47697339,27.70419956,13.41704303,2.401784021,,,,
16425.85938,,46.18753479,14.74028929,31.56245714,7.509718784,,,,
16718.9707,,71.21988497,13.90222204,5.677218558,9.200674434,,,,
16743.92969,,84.90523779,2.387217509,12.60781566,0.09972904042,,,,
17134.87305,,99.99999929,0,0.000000712408621,0,,,,
17500.65625,,93.92585718,5.873730768,0.2004120542,0,,,,
17643.06055,,95.35976356,0.003451463449,2.604485389,2.032299589,,,,
17915.56641,,94.00642827,1.034150511,3.215911815,1.743509404,,,,
18383.95508,,65.41238357,6.15393902,21.57684071,6.856836706,,,,
18776.70703,,95.43497032,1.941425039,2.545956934,0.07764770471,,,,
19116.20898,,99.99999872,0,0.000001277139333,0,,,,
19129.95508,,70.04772851,21.95081497,5.776304407,2.22515211,,,,
19237.68164,,100,0,0,0,,,,
20250.83398,,82.54729103,3.854734527,12.24697135,1.35100309,,,,
20903.27734,,47.21485446,31.2730034,21.15863263,0.3535095024,,,,
21413.25,,92.22757937,0.5954581495,5.348927064,1.82803542,,,,
24206.63672,,46.91179747,21.6538987,27.02751244,4.406791392,,,,
25499.88086,,99.96981182,0,0.03018817873,0,,,,
25778.81445,,93.84384303,0.6831311872,5.20969278,0.2633330058,,,,
26378.27539,,70.90907039,8.935421702,14.19244161,5.963066293,,,,
26545.86328,,65.72041818,12.87474863,15.00100626,6.403826927,,,,
27691.01953,,53.38588491,2.71797298,32.31145967,11.58468244,,,,
28435.94336,,93.68580071,0.4707829181,5.843416373,NAN,,,,
29136.80859,,90.07454179,3.979825725,4.699081176,1.246551314,,,,
29825.96875,,60.66356984,28.9627418,7.77785276,2.595835594,,,,
31072.94531,,85.79099665,6.586062113,2.812216176,4.810725058,,,,
31255.43555,,63.36942563,9.975784507,16.72614511,9.928644759,,,,
32365.99805,,97.09990707,0.3545396865,2.545553241,NAN,,,,
32866.26953,,57.16773762,9.287349919,19.45082534,14.09408712,,,,
32971.84766,,93.13936621,0.8495593511,4.150468349,1.860606087,,,,
33469.19922,,97.82878485,0,0.22384422,1.947370925,,,,
34813.86719,,100,0,0,0,,,,
36910.55859,,90.40234468,5.263549601,2.8776725,1.456433219,,,,
37742.15625,,99.22181066,0,0.7781893369,0,,,,
37846.60547,,99.96659155,0,0.03340844529,0,,,,
38928.33984,,75.09141325,1.447541688,14.56026288,8.900782174,,,,
40222.50391,,98.35990325,0.8921603495,0.000002427900808,0.7479339713,,,,
43733.75781,,93.92828195,5.671978717,0.07590450129,0.323834836,,,,
43849.26953,,60.4486756,26.67001975,3.650217875,9.231086774,,,,
43851.04297,,94.43732996,4.985880842,0.5318366638,0.04495253272,,,,
45195.77734,,NAN,NAN,NAN,NAN,,,,
45741,,55.85504921,27.28286,12.16590654,4.696184252,,,,
46754.78125,,99.92561261,0,0.07438739142,0,,,,
50882.88281,,97.49165711,0.1861521591,0.9536162228,1.368574512,,,,
51269.18359,,99.93139665,0,0.06860335296,0,,,,
